nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
Mie Ketupa,38,4.7,4.7,38,4.5033476853724785,Sangat rendah,TRUE,-0.19665231462752164
Mie Kluntung Kapasan Pak Yanto Cabang Dharmahusada,200,4.5,4.5,200,4.487674297441119,Sangat tinggi,TRUE,-0.012325702558880991
Mie Kocok Aceh Suk Asin,2231,4.5,4.5,2231,4.497489432472324,Sangat tinggi,TRUE,-0.0025105675276764217
Mie Mapan Kusuma Bangsa,2914.6666666666665,4.7,4.7,2914.6666666666665,4.678262343989897,Sangat tinggi,TRUE,-0.021737656010103024
Mie Mapan Plaza Surabaya,1358,4.8,4.8,1358,4.739044290623345,Sangat tinggi,TRUE,-0.060955709376655065
Mie Menur,221,4.6,4.6,221,4.529041253507236,Sangat tinggi,TRUE,-0.07095874649276368
Mie Pangsit AHONG 2,151,4.8,4.8,151,4.582671195580577,Tinggi,TRUE,-0.21732880441942282
Mie Pangsit Jawa Cak Gendut,47,3.7,3.7,47,4.37993669173441,Sangat rendah,TRUE,0.6799366917344098
"Mie Pitik dan Bakso ""Barcelona""",168,4.7,4.7,168,4.5557883026064845,Tinggi,TRUE,-0.1442116973935157
Mie Rami Undaan,83,4.3,4.3,83,4.442849186386736,Rendah,TRUE,0.14284918638673627
Mie Restu Bang Karman,1056,4.1,4.1,1056,4.188256486747118,Sangat tinggi,TRUE,0.0882564867471185
Mie Tokyo Nginden,1395,4.4,4.4,1395,4.41490043599922,Sangat tinggi,TRUE,0.014900435999219752
Miejol - Tunjungan,710,4.6,4.6,710,4.562745796523226,Sangat tinggi,TRUE,-0.037254203476773995
Mr. Hasim Food Stall,202,4.5,4.5,202,4.487721567633099,Sangat tinggi,TRUE,-0.012278432366900738
Nasi Campur Bu Fauziah,67,4.5,4.5,67,4.4834328525760965,Rendah,TRUE,-0.016567147423903528
Nasi Pecel Rawon Pucang Moro Seneng,5712,4.5,4.5,5712,4.498938373127856,Sangat tinggi,TRUE,-0.0010616268721443944
Neko-neko cafe,146,4.5,4.5,146,4.486244462987457,Sedang,TRUE,-0.013755537012542618
Ngastina,780,4.7,4.7,780,4.636058933624976,Sangat tinggi,TRUE,-0.06394106637502439
OMAH LAWAS 1826 SURABAYA,51,4.6,4.6,51,4.496482584401245,Rendah,TRUE,-0.1035174155987546
"PANGSIT MIE AYAM JAKARTA ""CAK SUR""",159,4.6,4.6,159,4.5198470167620926,Tinggi,TRUE,-0.0801529832379071
